asset_id,site_id,building_id,asset_name,asset_type,manufacturer,installation_date,capacity,parent_asset_id
AST_0026,SITE_B,SITE_B_B1,AHU-SITE_B_B1-3,AHU,Siemens,2020-03-16,8988.0,AST_0023
AST_0027,SITE_B,SITE_B_B1,Pump-SITE_B_B1-1,Pump,Johnson Controls,2019-08-03,41.8,AST_0023
AST_0028,SITE_B,SITE_B_B1,Pump-SITE_B_B1-2,Pump,Carrier,2018-06-24,36.2,AST_0023
AST_0029,SITE_B,SITE_B_B1,EnergyMeter-SITE_B_B1-1,EnergyMeter,Trane,2022-05-07,,AST_0027
AST_0030,SITE_B,SITE_B_B1,EnvSensor-SITE_B_B1-1,EnvSensor,Johnson Controls,2018-02-12,,AST_0024
AST_0031,SITE_B,SITE_B_B1,EnvSensor-SITE_B_B1-2,EnvSensor,Daikin,2018-11-05,,AST_0025
AST_0032,SITE_B,SITE_B_B1,EnvSensor-SITE_B_B1-3,EnvSensor,Carrier,2022-09-28,,AST_0026
AST_0033,SITE_B,SITE_B_B1,EnvSensor-SITE_B_B1-4,EnvSensor,Carrier,2022-01-30,,AST_0024
AST_0034,SITE_B,SITE_B_B2,Chiller-SITE_B_B2-1,Chiller,Daikin,2023-12-18,408.1,
AST_0035,SITE_B,SITE_B_B2,AHU-SITE_B_B2-1,AHU,Siemens,2018-11-30,16741.0,AST_0034
AST_0036,SITE_B,SITE_B_B2,AHU-SITE_B_B2-2,AHU,Daikin,2019-08-30,19067.4,AST_0034
AST_0037,SITE_B,SITE_B_B2,AHU-SITE_B_B2-3,AHU,Daikin,2021-04-07,9973.5,AST_0034
AST_0038,SITE_B,SITE_B_B2,Pump-SITE_B_B2-1,Pump,Daikin,2023-02-13,91.7,AST_0034
AST_0039,SITE_B,SITE_B_B2,Pump-SITE_B_B2-2,Pump,Carrier,2021-04-09,73.8,AST_0034
AST_0040,SITE_B,SITE_B_B2,EnergyMeter-SITE_B_B2-1,EnergyMeter,Trane,2018-09-19,,AST_0038
AST_0041,SITE_B,SITE_B_B2,EnvSensor-SITE_B_B2-1,EnvSensor,Carrier,2019-12-07,,AST_0035
AST_0042,SITE_B,SITE_B_B2,EnvSensor-SITE_B_B2-2,EnvSensor,Daikin,2018-11-07,,AST_0036
AST_0043,SITE_B,SITE_B_B2,EnvSensor-SITE_B_B2-3,EnvSensor,Trane,2023-10-21,,AST_0037
AST_0044,SITE_B,SITE_B_B2,EnvSensor-SITE_B_B2-4,EnvSensor,Trane,2023-06-16,,AST_0035
AST_0045,SITE_C,SITE_C_B1,Chiller-SITE_C_B1-1,Chiller,Daikin,2019-10-20,795.4,
AST_0046,SITE_C,SITE_C_B1,AHU-SITE_C_B1-1,AHU,Siemens,2023-02-04,12782.9,AST_0045
AST_0047,SITE_C,SITE_C_B1,AHU-SITE_C_B1-2,AHU,Johnson Controls,2018-02-18,10604.9,AST_9999
AST_0048,SITE_C,SITE_C_B1,AHU-SITE_C_B1-3,AHU,Johnson Controls,2022-06-09,19052.2,AST_0045
AST_0049,SITE_C,SITE_C_B1,Pump-SITE_C_B1-1,Pump,Carrier,2018-03-12,34.3,AST_0045
AST_0050,SITE_C,SITE_C_B1,Pump-SITE_C_B1-2,Pump,Daikin,2020-03-18,44.8,AST_0045
AST_0051,SITE_C,SITE_C_B1,EnergyMeter-SITE_C_B1-1,EnergyMeter,Johnson Controls,2024-01-05,,AST_0049
AST_0052,SITE_C,SITE_C_B1,EnvSensor-SITE_C_B1-1,EnvSensor,Carrier,2023-08-18,,AST_0046
AST_0053,SITE_C,SITE_C_B1,EnvSensor-SITE_C_B1-2,EnvSensor,Carrier,2023-11-03,,AST_0047
AST_0054,SITE_C,SITE_C_B1,EnvSensor-SITE_C_B1-3,EnvSensor,Carrier,2020-07-06,,AST_0048
AST_0055,SITE_C,SITE_C_B1,EnvSensor-SITE_C_B1-4,EnvSensor,Carrier,2022-12-23,,AST_0046
AST_0056,SITE_C,SITE_C_B2,Chiller-SITE_C_B2-1,Chiller,Trane,2023-11-11,493.2,
AST_0057,SITE_C,SITE_C_B2,AHU-SITE_C_B2-1,AHU,Trane,2021-02-20,5372.9,AST_0056
AST_0058,SITE_C,SITE_C_B2,AHU-SITE_C_B2-2,AHU,Johnson Controls,2018-11-23,7105.1,AST_9999
AST_0059,SITE_C,SITE_C_B2,AHU-SITE_C_B2-3,AHU,Siemens,2018-01-15,18995.3,AST_0056
AST_0060,SITE_C,SITE_C_B2,Pump-SITE_C_B2-1,Pump,Daikin,2020-08-08,28.7,AST_0056
AST_0061,SITE_C,SITE_C_B2,Pump-SITE_C_B2-2,Pump,Siemens,2019-09-26,62.5,AST_0056
AST_0062,SITE_C,SITE_C_B2,EnergyMeter-SITE_C_B2-1,EnergyMeter,Johnson Controls,2022-08-11,,AST_0060
AST_0063,SITE_C,SITE_C_B2,EnvSensor-SITE_C_B2-1,EnvSensor,Trane,2018-09-19,,AST_0057
AST_0064,SITE_C,SITE_C_B2,EnvSensor-SITE_C_B2-2,EnvSensor,Daikin,2019-08-26,,AST_0058
AST_0065,SITE_C,SITE_C_B2,EnvSensor-SITE_C_B2-3,EnvSensor,Siemens,2023-01-24,,AST_0059
AST_0066,SITE_C,SITE_C_B2,EnvSensor-SITE_C_B2-4,EnvSensor,Carrier,2020-02-27,,AST_0057
